# tag pevalue tag_id
CBAT 14.410000 1857
CBD 4.465000 1862
CBGPY 25.730000 1867
CBKM 6.807000 1871
CBMB 56.150000 1874
CBNK 9.520000 1876
CBOE 27.010000 1877
CBRE 35.110000 1880
CBRL 15.420000 1881
CBSH 21.630000 1882
CBTX 25.300000 1885
CBU 24.730000 1886
CBZ 19.790000 1890
CC 27.850000 1891
CCAP.L 3.475000 1893
CCAP 3.475000 1894
CCB 20.730000 1895
CCBG 12.240000 1897
CCEL 19.220000 1901
CCEP 47.500000 1902
CCF 25.850000 1903
CCHGY 27.350000 1908
CCI 90.670000 1910
CCK 19.780000 1914
CCNE 11.100000 1921
CCOEY 51.620000 1923
CCOI 222.350000 1924
CCOJY 136.430000 1925
CCRC 4.382000 1929
CCRN 68.040000 1930
CCS 9.746000 1931
CCU 19.160000 1933
CDE 65.000000 1942
CDK 6.238000 1947
CDNS 54.270000 1951
CDW 27.940000 1954
CE 9.207000 1958
CECE 47.690000 1963
CEIX 56.810000 1966
CELH 595.820000 1968
CENT 18.680000 1973
CENTA 17.160000 1974
CEO 14.810000 1976
CEPU 3.755000 1977
CERN 29.870000 1981
CF 28.590000 1990
CFB 37.720000 1992
CFBK 3.840000 1993
CFFI 7.069000 1996
CFFN 23.110000 1997
CFG 13.980000 1998
CFNB 4.278000 2002
CFPZF 3.871000 2004
CFR.SW 19.720000 2005
CFR 19.720000 2006
CFRUY 43.890000 2007
CFST 9.659000 2009
CFX 107.800000 2012
CG 8.557000 2014
CGBD 4.894000 2017
CGNX 63.010000 2024
CHBAY 9.533000 2035
CHBH 9.383000 2036
CHCI 23.630000 2037
CHCO 15.980000 2038
CHCT 56.960000 2039
CHD 27.930000 2040
CHDRY 44.070000 2042
CHE 24.420000 2043
CHGCY 31.400000 2051
CHH 159.090000 2053
CHHE 8.514000 2054
CHKP 19.240000 2057
CHMG 9.530000 2060
CHNR 10.470000 2062
CHPM 259.320000 2063
CHRW 21.950000 2069
CHRYY 89.730000 2071
CHT 27.110000 2073
CHTR 39.260000 2074
CHUY 50.550000 2077
CHYHY 44.430000 2080
CI 11.200000 2081
CIBEY 8.498000 2084
CIBH 6.152000 2085
CIEN 23.290000 2093
CIH 3.933000 2096
CIHKY 15.850000 2097
CIM 6.697000 2098
CINF 6.436000 2101
CIO 11.220000 2102
CIT 18.590000 2106
CIVB 10.740000 2110
CIX 25.490000 2112
CIZN 13.800000 2114
CKHGY 44.060000 2118
CKHUY 8.146000 2119
CKX 33.780000 2122
CL 27.030000 2123
CLAR 69.640000 2125
CLB.AS 99.520000 2127
CLB 99.520000 2128
CLBEY 19.670000 2129
CLBK 26.520000 2130
CLCGY 38.280000 2132
CLDB 10.040000 2134
CLEU 17.560000 2139
CLFD 40.230000 2141
CLGX 19.680000 2144
CLH 35.670000 2145
CLPBY 50.230000 2165
CLPHY 17.710000 2166
CLPS 12.670000 2167
CLRO 239.000000 2172
CLVLY 76.680000 2176
CLW 6.083000 2180
CLWT 21.670000 2182
CLX 24.650000 2184
CLX.L 24.650000 2185
CLZNY 8.620000 2187
CM 17.110000 2188
CMA 12.740000 2189
CMBM 40.640000 2191
CMC 14.440000 2194
CMCL.L 10.450000 2196
CMCL 10.450000 2197
CMCM 5.404000 2198
CMCO 137.030000 2199
CMCSA 22.660000 2200
CMD 70.330000 2203
CME 41.040000 2204
CMG 96.280000 2206
CMI 20.340000 2213
CMS 20.910000 2227
CMSQY 39.420000 2228
CMT 32.140000 2229
CMTV 8.479000 2231
CMWAY 24.800000 2232
CNA 12.260000 2233
CNA.L 12.260000 2234
CNAF 11.280000 2235
CNBKA 14.670000 2238
CNC 17.570000 2242
CNCG 10.990000 2244
CNEY 32.060000 2250
CNF 1.602000 2251
CNFR 33.500000 2252
CNI 29.870000 2255
CNIG 34.110000 2257
CNMD 353.050000 2260
CNNB 8.371000 2261
CNNE 3.379000 2263
CNO 7.905000 2264
CNOB 11.300000 2265
CNP 23.640000 2266
CNP.PA 23.640000 2267
CNPAY 8.314000 2268
CNQ 23.490000 2269
CNR 37.690000 2270
CNS 33.860000 2272
CNXN 25.150000 2282
CO 10.720000 2284
CODA 30.610000 2290
CODX 4.611000 2292
COE 16.120000 2294
COF 10.560000 2295
COFS 10.640000 2298
COG 24.120000 2300
COG.L 24.120000 2301
COHN 1.422000 2304
COHU 54.740000 2306
COIHY 50.100000 2307
COKE 18.060000 2310
COLB 15.990000 2312
COLL 20.590000 2315
COLM 41.760000 2316
CONE 199.320000 2324
COO 8.685000 2327
COOP 3.182000 2329
COR 60.930000 2333
CORE 30.570000 2336
CORT 27.690000 2341
COST.L 38.680000 2344
COST 38.680000 2345
COVTY 13.240000 2354
COWN 3.342000 2355
CP 27.480000 2356
CPAC 30.410000 2358
CPB 18.370000 2359
CPF 16.690000 2362
CPHC 48.280000 2364
CPK 25.690000 2369
CPKF 9.266000 2370
CPRT 36.650000 2374
CPRX 8.132000 2375
CPSH 287.830000 2377
CPSI 33.030000 2378
CPSS 6.955000 2380
CPT 111.950000 2381
CPTA 3.769000 2382
CPTP 50.560000 2384
CQP 19.550000 2389
CR 24.740000 2390
CRAI 22.610000 2391
CRARY 9.905000 2392
CRAWA 13.350000 2393
CRC.L 0.691500 2396
CRC 0.691500 2397
CRCT 55.210000 2399
CREG 5.257000 2405
CRESY 3.570000 2408
CRH 36.720000 2410
CRH.L 36.720000 2411
CRHKY 96.150000 2413
CRI 16.330000 2414
CRL.L 45.800000 2417
CRL 45.800000 2418
CRM 49.810000 2420
CRMT 11.020000 2426
CRMZ 75.770000 2427
CRNC 432.410000 2429
CROX 17.160000 2433
CRRFY 21.680000 2436
CRSA 44.520000 2438
CRSR 20.190000 2441
CRSS 103.970000 2442
CRT 14.970000 2444
CRTO 29.560000 2447
CRUS 21.570000 2453
CRVL 48.860000 2455
CRWS 10.620000 2460
CS.PA 25.040000 2465
CS 25.040000 2466
CSBB 9.576000 2468
CSCO 21.950000 2470
CSGP 145.490000 2474
CSGS 25.020000 2475
CSHX 10.450000 2477
CSIOY 51.920000 2479
CSIQ 41.230000 2480
CSL 33.800000 2481
CSLLY 39.840000 2482
CSNVY 42.430000 2485
CSPI 510.500000 2489
CSTE 30.560000 2494
CSTM 37.520000 2497
CSTR 13.510000 2498
CSV 20.850000 2500
CSVI 29.850000 2501
CSWC 10.100000 2502
CSWI 45.460000 2503
CSX 28.360000 2504
CSXXY 56.030000 2506
CTAS 38.770000 2512
CTB 17.060000 2513
CTBI 10.250000 2514
CTG 18.490000 2517
CTGO 6.250000 2518
CTHR 23.550000 2520
CTLT 35.300000 2525
CTO 2.602000 2527
CTO.L 2.602000 2528
CTRE 27.070000 2531
CTRN 10.950000 2533
CTS 28.980000 2534
CTSH 25.110000 2535
CTUY 9.625000 2538
CTVA 33.960000 2539
CTXS 34.940000 2541
CUB 300.000000 2545
CUBE 50.920000 2546
CUBI 7.968000 2547
