# ticker date stockPrice numberOfShares marketCapitalization minusCashAndCashEquivalents addTotalDebt enterpriseValue date revenuePerShare netIncomePerShare operatingCashFlowPerShare freeCashFlowPerShare cashPerShare bookValuePerShare tangibleBookValuePerShare shareholdersEquityPerShare interestDebtPerShare marketCap enterpriseValue peRatio priceToSalesRatio pocfratio pfcfRatio pbRatio ptbRatio evToSales enterpriseValueOverEBITDA evToOperatingCashFlow evToFreeCashFlow earningsYield freeCashFlowYield debtToEquity debtToAssets netDebtToEBITDA currentRatio interestCoverage incomeQuality dividendYield payoutRatio salesGeneralAndAdministrativeToRevenue researchAndDdevelopementToRevenue intangiblesToTotalAssets capexToOperatingCashFlow capexToRevenue capexToDepreciation stockBasedCompensationToRevenue grahamNumber roic returnOnTangibleAssets grahamNetNet workingCapital tangibleAssetValue netCurrentAssetValue investedCapital averageReceivables averagePayables averageInventory daysSalesOutstanding daysPayablesOutstanding daysOfInventoryOnHand receivablesTurnover payablesTurnover inventoryTurnover roe capexPerShare tag_id
AAIF.L 2020-12-31 220.000000 178087642.000000 39179281240.000000 6177000.000000 0.000000 39173104240.000000 2020-12-31 0.285152 0.268862 0.000000 0.061279 0.034685 2.422830 2.422830 2.422830 0.004661 39179281240.000000 39173104240.000000 818.263638 771.519067 None 3590.147644 90.802921 90.802921 771.397429 None None 3589.581622 0.001222 0.000279 0.000000 0.082789 None None 0.000000 0.000000 0.000417 0.341555 0.015596 0.000000 0.000000 None None None 0.000000 3.828401 None 0.101783 -0.184005 None None None 0.000000 None None None 0.000000 None None None None None 0.110970 0.000000 236
AAL.L 2020-12-31 2414.000000 1239000000.000000 2990946000000.000000 7521000000.000000 12968000000.000000 2996393000000.000000 2020-12-31 24.941082 1.686037 5.341404 1.531073 6.070218 20.842615 23.941082 20.842615 10.915254 2990946000000.000000 2996393000000.000000 1431.759694 96.788104 451.941070 1576.671587 115.820400 115.820400 96.964371 324.039472 452.764128 1579.542963 0.000698 0.000634 0.462864 0.476029 0.589056 1.927187 11.960432 3.168023 0.000302 0.432743 0.000000 0.000000 0.049621 -1.401822 -6.545647 -0.550095 0.005372 28.119068 0.124401 0.035150 -15.546408 8417000000.000000 29663000000.000000 -12273000000.000000 0.502169 None 4617500000.000000 5466000000.000000 0.000000 140.257249 125.124892 None 2.602361 2.917085 0.080894 -3.810331 237
AAL 2020-12-31 17.170000 509049000.000000 8740371330.000000 245000000.000000 32593000000.000000 41088371330.000000 2020-12-31 34.057625 -17.454115 -12.853380 -16.699768 13.483967 -13.489861 -25.512279 -13.489861 66.437612 8740371330.000000 41088371330.000000 -0.983722 0.504146 -1.335835 -1.028158 -1.272808 -1.272808 2.369982 -4.598072 -6.279745 -4.833357 -1.016547 -0.972613 -4.339013 1.110744 -3.619964 0.669624 -9.214344 0.736410 0.004920 -0.004840 0.000000 0.000000 0.098697 3.341675 -8.854443 -1.210419 0.005249 72.785339 -0.248817 -0.158979 -118.254824 -5474000000.000000 -12987000000.000000 -57780000000.000000 -4.746323 1546000000.000000 1629000000.000000 1732500000.000000 28.253446 17.508523 23.627722 12.918778 20.846990 15.447955 1.293869 -3.846388 238
AALB.AS 2020-12-31 37.189999 110580102.000000 4112473882.799898 55800000.000000 71300000.000000 4127973882.799898 2020-12-31 23.606417 1.060770 3.414719 2.374749 0.504612 16.043574 4.979196 16.043574 0.644781 4112473882.799898 4127973882.799898 35.059453 1.575419 10.891085 15.660601 2.318062 2.318062 1.581357 10.883137 10.932134 15.719626 0.028523 0.063855 0.000000 0.445103 0.040865 1.151730 None 3.219096 0.021520 0.754476 0.000000 0.000000 0.385752 -3.283478 -22.699130 -1.668696 0.000000 19.568265 0.078286 0.058665 -10.089066 130700000.000000 550600000.000000 -456800000.000000 0.040189 None 339700000.000000 590450000.000000 0.000000 135.991112 202.255343 None 2.683999 1.804649 0.066118 -1.039970 239
AAMC 2020-12-31 21.350000 1589952.000000 33945475.200000 41623000.000000 0.000000 -7677524.800000 2020-12-31 0.000000 25.045410 11.702240 11.648150 55.962696 -104.769201 -104.769201 -104.769201 0.000000 33945475.200000 -7677524.800000 0.852452 None 1.824437 1.832909 -0.203781 -0.203781 None 0.288694 -0.412637 -0.414553 1.173087 0.545581 0.000000 2.669921 1.565127 7.372863 None 0.467241 None 0.000000 None None 0.000000 -216.348837 0.000000 -5.000000 None 242.980907 -0.236705 0.399200 -109.935080 83510000.000000 None -169716000.000000 0.000000 4214000.000000 5240000.000000 None None 278.907907 0.000000 0.000000 1.308676 None -0.239053 -0.054090 240
AAME 2020-12-31 2.380000 20427586.000000 48617654.680000 19319000.000000 33738000.000000 63036654.680000 2020-12-31 9.562951 0.595714 0.439161 0.427755 13.385086 7.101182 6.976644 7.101182 1.730405 48617654.680000 63036654.680000 3.995205 0.248877 5.419424 5.563934 0.335155 0.335155 0.322689 3.824344 7.026714 7.214083 0.250300 0.179729 0.232580 0.641992 0.874780 0.697110 9.629193 0.737201 0.008207 0.032788 0.000000 0.000000 0.006279 -38.502146 -838.403433 -4.206009 0.002237 9.756083 0.041070 0.030223 2.728981 -8394000.000000 142516000.000000 -240808000.000000 0.232580 50933500.000000 None None 105.751121 None None 3.451500 0.000000 None 0.083889 -0.011406 241
AAN 2020-12-31 16.940001 33981000.000000 575638173.981000 76123000.000000 16831000.000000 516346173.981000 2020-12-31 51.055560 -7.825314 10.469645 8.438009 2.240164 20.933021 20.442571 20.933021 0.789765 575638173.981000 516346173.981000 -2.164769 0.331795 1.618011 2.007583 0.809248 0.809248 0.297620 0.680191 1.451352 1.800797 -0.461943 0.498112 0.001168 0.474438 -0.078106 2.813349 18.774635 -1.337920 None 0.000000 0.274696 0.000000 0.012314 -5.153309 -25.130278 -8.274693 0.014088 60.709703 0.178283 -0.198918 -5.623120 543537000.000000 694659000.000000 201147000.000000 0.023661 39044500.000000 82369500.000000 739416500.000000 7.380918 47.386675 390.696594 49.451843 7.702587 0.934229 -0.373826 -2.031635 242
AAOG.L 2019-12-31 0.375000 309622332.000000 116108374.500000 170000.000000 0.000000 115938374.500000 2019-12-31 0.000000 -0.062638 -0.021723 -0.021749 0.000549 0.000220 0.000220 0.000220 0.000000 116108374.500000 115938374.500000 -5.986819 None -17.262619 -17.242111 1707.476096 1707.476096 None -27.519196 -17.237344 -17.216866 -0.167034 -0.057998 0.000000 0.988957 0.040351 1.011166 None 0.346808 None 0.000000 None None 0.000000 840.750000 0.000000 -1.375000 None 0.017593 -62.117647 -3.149399 -0.019120 68000.000000 None 68000.000000 0.000000 None 2923665.500000 None None 250.907285 0.000000 None 1.454721 None -285.205882 -0.000026 243
AAOI 2020-12-31 11.010000 22744361.000000 250415414.610000 43425000.000000 145883000.000000 352873414.610000 2020-12-31 10.315656 -2.569956 -1.934941 -2.795066 1.909264 12.218017 11.784811 12.218017 6.661783 250415414.610000 352873414.610000 -4.284121 1.067310 -5.690096 -3.939083 0.901128 0.901128 1.504002 -16.488641 -8.018210 -5.550768 -0.233420 -0.253866 0.330194 0.422030 -4.787533 2.027853 -8.187045 0.752908 None 0.000000 0.178597 0.184948 0.020493 2.249604 -11.993201 -1.264274 0.055604 26.579968 -0.122158 -0.124115 -3.152792 106021000.000000 268038000.000000 6255000.000000 0.524965 39049000.000000 31155000.000000 97712500.000000 67.583719 58.457264 218.896497 5.400709 6.243878 1.667455 -0.210341 -0.860125 244
AAON 2020-12-31 74.000000 52240829.000000 3865821346.000000 79025000.000000 0.000000 3786796346.000000 2020-12-31 9.849595 1.512399 2.465773 1.167899 1.512706 6.716298 6.653761 6.716298 0.000000 3865821346.000000 3786796346.000000 48.928873 7.512999 30.010879 63.361656 11.017974 11.017974 7.359419 38.010503 29.397397 62.066419 0.020438 0.015782 0.000000 0.218577 -0.793225 3.730981 None 1.630371 0.005126 0.250794 0.107669 0.000000 0.007276 -1.899855 -7.589024 -0.378071 0.022043 15.117832 0.250339 0.177253 1.167578 161218000.000000 347598000.000000 122108000.000000 0.000000 60102500.000000 12103000.000000 77910000.000000 36.890075 12.665541 83.662581 9.894260 28.818350 4.362763 0.225183 -1.297874 245
