# ticker stockPrice numberOfShares marketCapitalization minusCashAndCashEquivalents addTotalDebt enterpriseValue dividendYielTTM dividendYielPercentageTTM peRatioTTM pegRatioTTM payoutRatioTTM currentRatioTTM quickRatioTTM cashRatioTTM daysOfSalesOutstandingTTM daysOfInventoryOutstandingTTM operatingCycleTTM daysOfPayablesOutstandingTTM cashConversionCycleTTM grossProfitMarginTTM operatingProfitMarginTTM pretaxProfitMarginTTM netProfitMarginTTM effectiveTaxRateTTM returnOnAssetsTTM returnOnEquityTTM returnOnCapitalEmployedTTM netIncomePerEBTTTM ebtPerEbitTTM ebitPerRevenueTTM debtRatioTTM debtEquityRatioTTM longTermDebtToCapitalizationTTM totalDebtToCapitalizationTTM interestCoverageTTM cashFlowToDebtRatioTTM companyEquityMultiplierTTM receivablesTurnoverTTM payablesTurnoverTTM inventoryTurnoverTTM fixedAssetTurnoverTTM assetTurnoverTTM operatingCashFlowPerShareTTM freeCashFlowPerShareTTM cashPerShareTTM operatingCashFlowSalesRatioTTM freeCashFlowOperatingCashFlowRatioTTM cashFlowCoverageRatiosTTM shortTermCoverageRatiosTTM capitalExpenditureCoverageRatioTTM dividendPaidAndCapexCoverageRatioTTM priceBookValueRatioTTM priceToBookRatioTTM priceToSalesRatioTTM priceEarningsRatioTTM priceToFreeCashFlowsRatioTTM priceToOperatingCashFlowsRatioTTM priceCashFlowRatioTTM priceEarningsToGrowthRatioTTM priceSalesRatioTTM dividendYieldTTM enterpriseValueMultipleTTM priceFairValueTTM tag_id
AAME 2.380000 20472162.000000 48723745.560000 19319000.000000 33738000.000000 63142745.560000 0.004843 0.484262 6.932856 0.004371 0.033573 0.697110 11.908599 0.697110 105.751121 None None None None 0.236854 0.000012 0.079361 0.062294 0.215055 0.030033 0.097647 0.000006 0.784945 6371.968763 0.000012 0.641992 1.793237 0.188693 None 0.001511 None 2.793237 3.451500 None None None 0.482118 0.439161 0.427755 13.385086 0.045923 0.974027 None None -38.502146 -38.502149 0.581593 0.581593 0.431875 6.932856 9.655062 9.404295 9.404295 0.004371 0.431875 0.004843 363.938542 0.581593 241
AAN 16.940001 33981000.000000 575638173.981000 76123000.000000 16831000.000000 516346173.981000 0.006908 0.690820 6.127115 -0.005857 0.042327 0.316796 0.316796 0.217450 3.443994 0.000000 0.849204 185.897728 -182.453734 0.873620 0.128605 0.079774 0.061093 0.234165 0.135244 0.195396 0.360490 0.765835 0.620301 0.128605 0.446404 0.806372 None None 58.043352 None 1.806372 105.981612 1.963445 None 14.122647 2.213726 10.082605 8.592359 1.797004 0.115879 0.852196 None 1013.659763 -6.765734 -6.765734 1.496861 1.496861 0.374326 6.127115 3.790577 3.230316 3.230316 -0.005857 0.374326 0.006908 0.656695 1.496861 242
AAOI 11.010000 22744361.000000 250415414.610000 43425000.000000 145883000.000000 352873414.610000 None None -2.906665 -0.250049 None 2.132348 0.945506 0.462145 74.004356 210.845443 229.093092 51.951940 74.041704 0.215415 -0.196631 -0.218326 -0.249133 -0.141106 -0.122705 -0.216693 -0.122065 1.141106 1.110331 -0.196631 0.415419 0.710628 0.154287 0.267329 -8.187045 -0.501712 1.710628 4.932142 7.025724 1.731126 0.944902 0.492529 -2.241303 -3.055702 1.999704 -0.217273 1.363360 -0.501712 -1.003425 2.752092 None 0.610117 0.610117 0.724145 -2.906665 -2.444610 -3.332883 -3.332883 -0.250049 0.724145 None -10.561393 0.610117 244
AAON 74.000000 52240829.000000 3865821346.000000 79025000.000000 0.000000 3786796346.000000 0.005536 0.553613 48.765306 1.031225 0.269971 3.680424 2.243975 1.455436 38.939031 88.451169 98.052574 18.539592 42.209316 0.296352 0.178308 0.187939 0.149196 0.206149 0.152119 0.211376 0.210893 0.793851 1.054017 0.178308 0.228278 0.295804 None None 43940.000000 None 1.295804 9.373628 19.687596 4.126571 1.112213 1.019595 2.298107 1.419005 1.857685 0.243590 0.617467 None None -2.614154 -2.614154 9.612454 9.612454 7.275574 48.765306 48.371921 29.868065 29.868065 1.031225 7.275574 0.005536 39.013553 9.612454 245
AAP 150.970001 68748000.000000 10378885628.747999 834992000.000000 1032984000.000000 10576877628.747999 0.006163 0.616340 16.078710 3.337260 0.099100 1.321693 0.176013 0.176013 0.000000 166.202188 166.202188 133.330902 -92.349541 0.441579 0.075528 0.065067 0.048973 0.247347 0.092911 0.239699 0.289057 0.752653 0.861496 0.075528 -0.378923 -1.001443 0.224929 None 40.668195 None 2.642868 None 2.737550 2.196120 12.202575 1.897194 20.335383 12.866193 12.049990 0.078953 0.632700 None None -4.267681 -4.267681 3.948158 3.948158 0.787422 16.078710 15.763015 9.973257 9.973257 3.337260 0.787422 0.006163 7.713433 3.948158 246
AAPL 115.050003 17352119000.000000 1996361343006.357178 38016000000.000000 112436000000.000000 2070781343006.357178 0.006552 0.655159 27.980639 2.637230 0.183318 1.141749 0.966960 0.361574 37.055678 9.737438 18.874455 74.867633 -35.410943 0.398813 0.273206 0.275434 0.234510 0.148581 0.226336 1.118016 0.385240 0.851419 1.008155 0.273206 0.794820 3.873775 0.610966 0.637476 45.151346 0.818702 4.873775 9.850042 4.875271 37.484192 8.605210 0.965144 5.944498 5.400252 4.168329 0.306052 0.908446 0.818702 7.659079 -10.922461 -10.922461 30.865745 30.865745 6.561743 27.980639 23.600748 21.439995 21.439995 2.637230 6.561743 0.006552 22.224099 30.865745 250
AAU.L 2.700000 1059677953.000000 2861130473.100000 453000.000000 0.000000 2860677473.100000 None None 903.855167 4.313854 None 10.685259 9.330677 9.330677 None None None None None None None None None 0.005970 0.190552 0.248325 -0.042688 0.994030 -4.528306 None 0.138483 0.160744 None None None None 1.160744 None 0.000000 None 0.000000 0.000000 -0.000262 -0.000727 0.002210 None 2.779080 None None 0.562088 None 199.916143 199.916143 None 903.855167 -6739.029162 -18728.302866 -18728.302866 4.313854 None None -4115.844544 199.916143 254
AAWW 51.820000 26408000.000000 1368462560.000000 845589000.000000 2319141000.000000 2842014560.000000 None None 4.944440 0.022457 None 1.029261 0.924185 0.654930 30.799257 0.000000 7.594337 16.166185 14.633072 0.271185 0.162183 0.169851 0.124490 0.267063 0.071199 0.198715 0.113012 0.732937 1.047280 0.162183 0.602497 1.515705 0.455153 0.490828 5.031003 0.446527 2.515705 11.850935 22.577992 None 0.768059 0.571923 36.005054 22.583833 24.701730 0.299168 0.627241 0.446527 3.347299 -3.329179 None 0.885623 0.885623 0.615534 4.944440 3.280223 2.057489 2.057489 0.022457 0.615534 None 4.133964 0.885623 256
AAZ.L 143.000000 114392024.000000 16358059432.000000 22886000.000000 0.000000 16335173432.000000 0.064669 6.466855 870.661686 48.138515 56.304430 2.524671 0.699986 0.699986 0.000000 278.075984 278.075984 21.788176 46.778505 0.399040 0.337115 0.315506 0.202898 0.356913 0.094418 0.172890 0.198986 0.643087 0.935900 0.337115 0.402641 0.674035 None None 22.674986 None 1.674035 None 16.752206 1.312591 1.000541 0.465350 0.297396 0.197291 0.254974 0.371283 0.663394 None None -2.970833 -2.970835 137.616659 137.616659 176.655168 870.661686 717.215207 475.796306 475.796306 48.138515 176.655168 0.064669 316.826974 137.616659 257
AB 35.349998 95944280.000000 3391630106.111440 1037.400000 675.000000 3391629743.711440 0.069416 6.941627 19.606799 1.145958 1.361031 None None None 0.000000 None None None None 0.735778 0.000004 0.997047 0.907710 0.089601 132.963000 0.189274 None 0.910399 262817.432855 0.000004 0.004687 0.004709 None None None None 1.004709 None None None None 146.481777 1.950217 1.950217 0.000000 0.782253 1.000000 None None None None 2619.255839 2619.255839 17.797291 19.606799 22.751317 22.751317 22.751317 1.145958 17.797291 0.069416 4691.292503 2619.255839 258
ABB 29.510000 0.000000 0.000000 3278000000.000000 6121000000.000000 2843000000.000000 0.025541 2.554062 13.691990 -0.404978 0.349702 1.247146 0.855669 0.212636 109.008380 89.350624 116.229403 91.389954 39.650087 0.301446 0.072855 0.032180 0.196908 0.589774 0.125243 0.366557 0.074166 6.118906 0.441702 0.072855 0.610616 1.599554 0.235363 0.280703 7.933333 0.276589 2.619573 3.348366 3.993874 4.085030 5.081470 0.636049 0.822244 0.485187 2.615833 0.064782 0.590077 0.276589 1.309358 -2.439481 -2.439481 4.492125 4.492125 2.696066 13.691990 70.529510 41.617826 41.617826 -0.404978 2.696066 0.025541 26.002831 4.492125 259
ABBN.SW 26.340000 2133000000.000000 56183220000.000000 3278000000.000000 6936000000.000000 59841220000.000000 0.052100 5.210029 11.737604 0.045564 0.611533 1.188234 0.828648 0.219966 104.890376 87.896195 113.759576 87.464080 39.099331 0.307096 0.086804 0.046199 0.196577 0.539952 0.131079 0.361864 0.095164 4.255044 0.532216 0.086804 0.650448 1.910817 0.290989 0.336869 8.527473 0.404457 2.937696 3.479824 4.173142 4.152626 5.357371 0.666808 1.396030 1.062035 2.655087 0.104888 0.760754 0.404457 2.105539 -4.179792 -4.179792 4.519805 4.519805 2.307344 11.737604 28.916192 21.998098 21.998098 0.045564 2.307344 0.052100 20.157154 4.519805 261
ABBV 102.480003 1667000000.000000 170834165001.000000 8449000000.000000 86056000000.000000 248441165001.000000 0.042601 4.260070 127.695701 -2.617970 5.439927 0.831555 0.606084 0.305311 69.720490 67.633934 84.825287 425.895345 -339.497994 0.648212 0.158382 0.006054 0.032066 -4.316652 0.010695 0.113421 0.067060 5.296906 0.038222 0.158382 0.908904 9.977462 0.452651 0.452848 6.264775 1.213801 10.977462 5.235190 0.857018 5.396699 9.665896 0.333519 7.802097 7.420751 5.538452 0.274390 0.951123 1.213801 1530.333333 -30.157190 -30.157191 14.991485 14.991485 4.094696 127.695701 15.689787 14.922911 14.922911 -2.617970 4.094696 0.042601 14.824310 14.991485 262
ABC 96.070000 204783000.000000 19673502810.000000 4597746000.000000 4119520000.000000 19195276810.000000 0.014933 1.493306 -6.373062 0.012519 -0.095169 1.074938 0.639669 0.201270 26.899781 24.792131 31.424953 60.131061 -27.118151 0.028317 0.011779 -0.023972 -0.019087 0.204178 -0.079708 -8.059851 0.165068 0.796246 -2.035070 0.011779 1.002187 -167.187325 1.048037 1.047681 15.978383 0.268209 -166.822534 13.568884 6.070074 14.722414 132.376918 4.175930 8.103237 6.263913 32.409280 0.008460 0.773014 0.268209 37.837143 -4.405551 -4.405551 -84.742871 -84.742871 0.121645 -6.373062 18.601791 14.379438 14.379438 0.012519 0.121645 0.014933 9.001815 -84.742871 263
ABC.L 1286.000000 207600000.000000 266973600000.000000 187300000.000000 0.000000 266786300000.000000 None None 23284.416000 -320.585388 None 5.580762 3.845735 3.845735 0.000000 198.508772 198.508772 212.687970 -163.740602 0.693077 0.040385 0.032308 0.048077 -0.488095 0.015192 0.026221 0.013677 1.488095 0.800000 0.040385 0.234686 0.306654 None None 7.000000 None 1.306654 None 1.716129 1.838710 1.650794 0.315994 0.303468 0.131503 1.020713 0.242308 0.433333 None None -1.764706 None 462.212482 462.212482 1119.443077 23284.416000 10661.362637 4619.923810 4619.923810 -320.585388 1119.443077 None 15227.397906 462.212482 264
ABCB 39.110001 69252307.000000 2708457796.022307 2097555000.000000 549500000.000000 1160402796.022307 0.010538 1.053833 10.746783 0.172315 0.113253 10.021863 48.466938 10.032995 0.000000 None None None None 0.512472 0.000129 0.413082 0.316532 0.233730 0.017157 0.140995 0.000007 0.766270 3194.543953 0.000129 0.871304 6.770220 0.166300 None 0.002245 None 7.770220 None None None 5.015867 0.054203 7.168102 6.958509 15.622322 0.428273 0.970760 None None -34.200151 -34.200153 1.432704 1.432704 3.401702 10.746783 8.182069 7.942828 7.942828 0.172315 3.401702 0.010538 144.929949 1.432704 265
ABCP 0.350000 40738000.000000 14258300.000000 7925000.000000 0.000000 6333300.000000 None None -1.970021 0.134610 None 20.691906 20.691906 20.691906 None 0.000000 None 7766.388889 None None None None None 0.009943 -0.701377 -0.566132 -0.741422 0.995028 0.998582 None 0.047935 0.050348 None None None None 1.050348 None 0.046997 None None 0.000000 0.124552 0.124552 0.194536 None 1.000000 None None None None 1.451295 1.451295 None -1.970021 2.175798 2.175798 2.175798 0.134610 None None -0.552305 1.451295 268
