# tag pbvalue
ARCC 1.117000
ARCE 4.027000
ARCH 3.145000
ARCO 7.873000
ARCT 2.178000
ARDX 5.456000
ARE 2.000000
ARE.L 2.000000
ARES 10.350000
ARGO 1.119000
ARGX 8.608000
ARGX 8.608000
ARI 0.955800
ARKAY 1.605000
ARKO 7.197000
ARKR 1.736000
ARL 0.689300
ARL.DE 0.689300
ARLO 4.024000
ARLP 0.715100
ARMK 3.634000
ARMP 3.007000
ARNA 3.463000
ARNC 2.678000
AROC 1.534000
AROW 1.662000
ARPO 2.003000
ARQT 2.917000
ARR.L 0.830900
ARR 0.830900
ARRW 1.339000
ARTL 2.197000
ARTNA 2.243000
ARTNB 2.239000
ARTW 1.499000
ARVN 5.483000
ARW.L 1.737000
ARW 1.737000
ARWR 16.980000
ARXRF 1.734000
ARYA 1.365000
ARYD 1.417000
ARZGY 0.871000
ASAZY 4.674000
ASB 0.935300
ASBFY 1.962000
ASC 0.468700
ASC.L 0.468700
ASCCY 3.293000
ASEKY 0.773700
ASGN 3.366000
ASH 1.836000
ASHTY 7.771000
ASIX 1.906000
ASLE 1.423000
ASLN 2.554000
ASM.AS 1.708000
ASMB 0.641600
ASML 17.370000
ASML.AS 17.370000
ASMVY 3.247000
ASND 7.094000
ASO 2.931000
ASOMY 5.310000
ASOZY 0.925800
ASPL 1.428000
ASPL.L 1.428000
ASPN 8.500000
ASPU 2.997000
ASR 3.127000
ASRT 0.738500
ASRV 0.669300
ASTC 2.061000
ASTE 2.343000
ASTS 2.429000
ASUR 1.099000
ASX 2.119000
ASXC 2.718000
ASXFY 4.034000
ASYS 1.740000
ASZ 1.554000
ATA.PA 7250.000000
ATASY 2.001000
ATC 5.662000
ATCO 0.912600
ATDRY 16.030000
ATEC 13.090000
ATEN 6.123000
ATER 15.380000
ATEX 3.981000
ATEYY 7.610000
ATGE 1.398000
ATGN 3.551000
ATH 0.697400
ATHA 1.981000
ATHE 1.788000
ATHM 3.600000
ATHN 1.400000
ATHX 9.646000
ATI 6.530000
ATKR 6.424000
ATLC 5.575000
ATLCY 9.150000
ATLKY 10.740000
ATLO 1.133000
ATNI 1.171000
ATNM 2.198000
ATNX 2.845000
ATO 1.657000
ATO.PA 1.657000
ATOM 11.590000
ATOS 2.750000
ATR 5.074000
ATR.L 5.074000
ATRA 2.884000
ATRC 8.595000
ATRI 4.629000
ATRO 2.038000
ATROB 1.936000
ATRS 5.443000
ATSG 2.028000
ATTO 5.082000
ATUSF 2.160000
ATVI 4.950000
ATXI 57.800000
AU 2.733000
AUB 1.197000
AUBN 1.333000
AUCOY 5.783000
AUD 1.006000
AUDC 5.170000
AUMN 9.663000
AUOTY 1.168000
AUPH 4.940000
AUS 1.576000
AUTL 1.495000
AUTO.L 2.199000
AUTO 2.199000
AUUD 3.638000
AUVI 4.801000
AUY 1.125000
AVA 1.504000
AVAL 1.220000
AVAV 5.181000
AVB 2.674000
AVCO 21.070000
AVD 1.577000
AVDL 3.364000
AVEO 3.391000
AVGO 7.985000
AVGR 4.750000
AVGR 4.750000
AVIFY 6.741000
AVIR 2.902000
AVLNF 0.583700
AVLR 10.440000
AVNS 1.539000
AVNT 2.780000
AVNW 2.277000
AVO 3.031000
AVRO 1.605000
AVT 1.125000
AVTR 10.330000
AVXL 11.590000
AVY 11.470000
AVYA 8.360000
AWH 11.640000
AWI 10.640000
AWK 4.235000
AWR 4.507000
AWRE 1.793000
AWX 0.422800
AX 2.081000
AXAHY 0.744600
AXGN 6.984000
AXL 3.207000
AXLA 2.019000
AXNX 8.035000
AXON 8.894000
AXP 5.255000
AXR 1.221000
AXS.L 0.970500
AXS 0.970500
AXSM 23.620000
AXTA 5.504000
AXTI 2.296000
AXU 3.398000
AY 2.449000
AYALY 2.189000
AYI 3.420000
AYLA 2.469000
AYRO 1.975000
AYTU 0.896800
AYX 11.500000
AZEK 4.925000
AZN 10.350000
AZN.L 10.350000
AZPN 12.990000
AZRE 2.746000
AZRX 4.528000
AZYO 7.694000
AZZ 2.127000
B 1.961000
BABA 4.059000
BAC 1.463000
BAESY 3.826000
BAH 10.790000
BAK 106.820000
BALY 5.442000
BAM 2.403000
BANC 1.250000
BAND 6.645000
BANF 2.061000
BANR 1.257000
BAOS 1.946000
BAP 1.607000
BASFY 1.668000
BATL 3.538000
BAX 4.869000
BAYRY 1.680000
BB 3.881000
BBAR 0.478600
BBBY 2.267000
BBCP 1.690000
BBDC 0.937700
BBGI 0.315800
BBGI.L 0.315800
BBI 1.913000
BBKCF 43.730000
BBL 3.151000
BBQ 4.345000
BBSI 3.102000
BBVA 0.768200
BBVA 0.768200
BBW 3.953000
BBY.L 6.455000
BBY 6.455000
BC 4.812000
BCAB 7.162000
BCBP 0.997700
BCC 2.648000
BCDA 3.700000
BCE 3.150000
BCEI 1.302000
BCEL 1.461000
BCH 1.860000
BCLI 3.612000
BCML 0.786800
BCNAY 2.283000
BCO 37.980000
BCOR 2.394000
BCOV 6.778000
BCOW 1.163000
BCPC 5.015000
BCS 0.505600
BCSF 0.951800
BCTF 0.831600
BCTG 1.458000
BCUCY 12.090000
BCYC 5.021000
BCYP 1.333000
BDC 2.670000
BDL 1.133000
BDN 1.356000
BDNNY 1.993000
BDORY 0.775400
BDR 9.854000
BDRFY 3.501000
BDSI 3.187000
BDSX 10.360000
BDTX 1.758000
BDVSY 2.807000
BDX 2.824000
BE 677.900000
BEAM 11.820000
BEBE 1.988000
BECN 2.538000
BEDU 1.028000
BEEM 8.533000
BEKE 5.776000
BELFA 1.159000
BELFB 1.098000
BEN 1.632000
BENE 5910.990000
BENE.L 5910.990000
BEP 2.447000
BERY 3.475000
BEST 1.939000
